X,Y
6.10124168715e-08,2.02403186259e-06
7.61439490132e-09,6.10341689576e-08
2.02473439897e-06,7.17497724977e-09
6.10562494134e-08,2.02545135302e-06
7.17802428742e-09,6.10837413846e-08
2.0263523244e-06,8.49306835051e-09
6.11137421554e-08,2.0270720842e-06
7.60831510367e-09,6.11296811882e-08
2.02758276412e-06,5.85655417983e-09
6.11450644434e-08,2.02830494077e-06
6.74627493607e-09,6.1171610057e-08
2.0291728325e-06,8.0643560748e-09
6.11906150906e-08,2.02959981301e-06
5.43092237178e-09,6.12245874063e-08
2.03016230565e-06,5.44419951168e-09
6.12186491001e-08,2.02998063114e-06
2.0955629855e-10,6.12464494412e-08
2.03087056947e-06,5.95711024686e-09
6.12709627301e-08,2.03196170273e-06
9.46335927208e-09,6.12974621707e-08
2.0328220635e-06,9.00166102839e-09
6.13149027187e-08,2.03338871333e-06
6.7922637745e-09,6.13304838943e-08
2.03412785261e-06,7.23106610764e-09
6.13564355666e-08,2.03497136066e-06
8.10480660693e-09,6.13803895652e-08
2.03608102216e-06,1.02846539571e-08
6.13909675756e-08,2.03708484586e-06
1.0258061402e-08,6.14059334213e-08
2.03783386822e-06,8.47988316458e-09
6.14178309458e-08,2.03842993678e-06
6.7212768767e-09,6.14512898881e-08
2.03953755813e-06,9.79238751242e-09
6.14681040257e-08,2.04006318961e-06
6.70962916968e-09,6.14755294776e-08
2.04074399283e-06,6.71889387676e-09
6.14965939168e-08,2.04173323894e-06
8.9162951778e-09,6.15256290527e-08
2.04267839885e-06,9.34300157481e-09
6.15430888631e-08,2.0432236507e-06
6.70157465451e-09,6.15621643446e-08
2.04384051661e-06,6.27250895065e-09
6.15816092827e-08,2.04429816576e-06
4.96991614715e-09,6.16067575246e-08
2.04512503934e-06,7.18286064095e-09
6.16231644417e-08,2.04590640201e-06
7.62233090252e-09,6.16465766874e-08
2.04666627073e-06,7.62037005391e-09
6.16717876524e-08,2.04748649648e-06
8.05514897896e-09,6.16817003634e-08
2.04779388948e-06,4.54575839844e-09
6.17056643521e-08,2.04858079986e-06
6.76142684263e-09,6.1730213398e-08
2.04938076403e-06,7.63969347767e-09
6.17373748069e-08,2.04977177177e-06
5.00964380619e-09,6.17773995766e-08
2.05109544028e-06,1.0719397267e-08
6.17845916029e-08,2.05151880525e-06
6.31021833881e-09,6.18115790963e-08
2.05240378052e-06,8.06991464076e-09
6.18209654195e-08,2.05289017142e-06
5.8749439159e-09,6.1843194061e-08
2.05361717672e-06,6.76216052605e-09
6.18616895435e-08,2.05448627656e-06
8.07981984076e-09,6.18843615649e-08
2.05521919406e-06,7.63310818618e-09
6.18986631016e-08,2.05567178154e-06
5.43975322904e-09,6.19158129785e-08
2.05622934941e-06,5.45732722017e-09
6.19361675652e-08,2.05716454732e-06
8.0981429722e-09,6.19528380805e-08
2.05796748411e-06,8.08947442485e-09
6.198640598e-08,2.05907013808e-06
1.02681333075e-08,6.20118400512e-08
2.05988675461e-06,8.93076111172e-09
6.2028565731e-08,2.06069934251e-06
8.47968909282e-09,6.20395889828e-08
2.06166671823e-06,9.34906269325e-09
6.20769709111e-08,2.06257971723e-06
9.3319203241e-09,6.20806466335e-08
2.06282052305e-06,4.50269846999e-09
6.21017776264e-08,2.06379166772e-06
8.0351905491e-09,6.21265283285e-08
2.06459481161e-06,8.03263142331e-09
6.21567223107e-08,2.06558385865e-06
9.34315730768e-09,6.21701011718e-08
2.06625120641e-06,7.57758018679e-09
6.21954224207e-08,2.06707639484e-06
8.01732528565e-09,6.22234137956e-08
2.06774786984e-06,7.13958946818e-09
6.22272400586e-08,2.06822320936e-06
5.39432817249e-09,6.22809048725e-08
2.06964192651e-06,1.15411352863e-08
6.22786812996e-08,2.06989673502e-06
5.37994783941e-09,6.23104885178e-08
2.07095613726e-06,8.9044340532e-09
6.23188830923e-08,2.07139918467e-06
5.83068763744e-09,6.23056473056e-08
2.07243727369e-06,8.91524468029e-09
6.23361626981e-08,2.0747904004e-06
1.94046914492e-08,6.23475103936e-08
2.07533051283e-06,1.01175568252e-08
6.23579458281e-08,2.07583043565e-06
6.60439035214e-09,6.23840230379e-08
2.07670005811e-06,7.93481302955e-09
6.23968246121e-08,2.07731761305e-06
6.62740462665e-09,6.24244440196e-08
2.07824087188e-06,8.39551316817e-09
6.24480248738e-08,2.07877360076e-06
6.20511034683e-09,6.24531728576e-08
2.07928766364e-06,5.35117545759e-09
6.24742442152e-08,2.08028542831e-06
8.43893268885e-09,6.24904522307e-08
2.08106667833e-06,7.99743367901e-09
6.2509624834e-08,2.08198517181e-06
8.87252546581e-09,6.2522707921e-08
2.08262035406e-06,7.11431126003e-09
6.25499114887e-08,2.08352136154e-06
8.43579621964e-09,6.25688743948e-08
2.08411623843e-06,6.68045792991e-09
6.2591431965e-08,2.08485442314e-06
7.13047772617e-09,6.26119029312e-08
2.08551551365e-06,6.69846669058e-09
6.26344768624e-08,2.0862529838e-06
7.14652865644e-09,6.26531242668e-08
2.08685197397e-06,6.27541235548e-09
6.26801690166e-08,2.08774310274e-06
8.03928339255e-09,6.27010380617e-08
2.08841471313e-06,7.15980910979e-09
6.2723302589e-08,2.08913769743e-06
7.16324139106e-09,6.27453503638e-08
2.08985363804e-06,7.16693820835e-09
6.27589736276e-08,2.09051469698e-06
6.73181320171e-09,6.27673183935e-08
2.09125235968e-06,7.17749034451e-09
6.27906636478e-08,2.09234767769e-06
9.80771373939e-09,6.28078980051e-08
2.0931864087e-06,8.91133679908e-09
6.2829532331e-08,2.09387544967e-06
7.58624393533e-09,6.28539919294e-08
2.09445200539e-06,6.27311492118e-09
6.28735846272e-08,2.09508885757e-06
6.28691892626e-09,6.29007073242e-08
2.0959796924e-06,8.04828093445e-09
6.29102806746e-08,2.09647255222e-06
5.85376982816e-09,6.29341018137e-08
2.0972546139e-06,7.18253604575e-09
6.29534015526e-08,2.09816387665e-06
8.49820201096e-09,6.29693361091e-08
2.09893682324e-06,8.05011238275e-09
6.29922647248e-08,2.09967765681e-06
7.60743452984e-09,6.30051838129e-08
2.1003097467e-06,6.7317334947e-09
6.30316422977e-08,2.10117865471e-06
8.05114540939e-09,6.30413193987e-08
2.10167150728e-06,5.85679609709e-09
6.30704625255e-08,2.10263801617e-06
8.49756042119e-09,6.3069895728e-08
2.10335730186e-06,7.61471334177e-09
6.31142800382e-08,2.10485184e-06
1.28639007322e-08,6.31250361751e-08
2.10541265543e-06,8.00467022342e-09
6.31375317023e-08,2.10602314743e-06
6.69169019116e-09,6.31656261831e-08
2.10695440373e-06,8.45292900917e-09
6.3178906834e-08,2.10760413653e-06
7.13450140721e-09,6.31953175642e-08
2.10838942416e-06,7.57818740934e-09
6.32035794297e-08,2.1091529118e-06
7.58127101983e-09,6.3249452586e-08
2.11033967065e-06,1.06452749179e-08
6.32534198241e-08,2.11057639239e-06
4.9301716248e-09,6.32763504091e-08
2.11164937128e-06,8.89655847647e-09
6.32793422401e-08,2.11209888004e-06
5.82274222244e-09,6.33132441008e-08
